"freq","month","new_threshold","old_threshold"
"30","May",45.6142083860663,45.5443617876531
"30","May",40.8302482145094,45.5443617876531
"30","May",38.8227427930748,45.5443617876531
"30","May",53.9110781207108,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",37.369372397152,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",48.0334227080465,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",53.9110781207108,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",54.2119785778167,45.5443617876531
"30","May",42.5132662408265,45.5443617876531
"30","May",53.9110781207108,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",46.3592282569608,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",51.2818429805037,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",48.841238002675,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",43.4435488843984,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",40.8302482145094,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",38.8227427930748,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",46.8474969076112,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",39.4272486928544,45.5443617876531
"30","May",43.4435488843984,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",37.1539504823466,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",37.369372397152,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",46.3592282569608,45.5443617876531
"30","May",50.9809425233978,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",48.0334227080465,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",37.1539504823466,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",45.8606340860311,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",50.9809425233978,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",42.5132662408265,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",42.5132662408265,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",39.4272486928544,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",54.9140796443969,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",42.5132662408265,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",48.0334227080465,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",42.5132662408265,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",54.9140796443969,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",36.7464993703279,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",43.4435488843984,45.5443617876531
"30","May",46.4290748553739,45.5443617876531
"30","May",46.6684493806596,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",39.9298998274003,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",35.1187478339031,45.5443617876531
"30","May",37.1539504823466,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",47.1670435515893,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
"30","May",45.9304806844443,45.5443617876531
"30","May",45.6142083860663,45.5443617876531
"30","May",47.5854656038266,45.5443617876531
"30","May",38.8227427930748,45.5443617876531
"30","May",45.5144275311903,45.5443617876531
"30","May",45.5443617876531,45.5443617876531
"30","May",43.4136146279357,45.5443617876531
